cpu_temp_bin_c,samples,fan1_avg_rpm,fan1_min_rpm,fan1_max_rpm,fan2_avg_rpm,fan2_min_rpm,fan2_max_rpm
45-49,8,0,0,0,0,0,0
50-54,1,0,0,0,0,0,0
55-59,8,750,0,2000,825,0,2200
60-64,54,556,0,2000,611,0,2200
65-69,82,1878,0,2000,2063,0,2200
