elapsed_s,timestamp,profile,cpu_temp_c,gpu_temp_c,acpi_temp_c,fan1_rpm,fan2_rpm,pwm_enable,pwm_percent,cpu_power_w,gpu_power_w,gpu_util_percent
0,2026-09-06T14:27:55+03:00,performance,45.0,44,45.0,0,0,2,0.0,NA,24.59,13
4,2026-09-06T14:27:56+03:00,performance,48.4,44,45.0,0,0,2,0.0,NA,26.88,0
5,2026-09-06T14:27:57+03:00,performance,54.4,44,45.0,0,0,2,0.0,NA,27.11,0
6,2026-09-06T14:27:58+03:00,performance,57.6,44,45.0,0,0,2,0.0,NA,24.70,0
7,2026-09-06T14:27:59+03:00,performance,58.8,44,45.0,0,0,2,0.0,NA,24.48,0
8,2026-09-06T14:28:00+03:00,performance,59.4,45,45.0,0,0,2,0.0,NA,24.56,0
9,2026-09-06T14:28:01+03:00,performance,59.8,45,45.0,0,0,2,0.0,NA,24.56,0
11,2026-09-06T14:28:03+03:00,performance,60.0,45,45.0,0,0,2,0.0,NA,24.64,0
12,2026-09-06T14:28:04+03:00,performance,60.2,45,45.0,0,0,2,0.0,NA,24.67,0
13,2026-09-06T14:28:05+03:00,performance,60.5,45,45.0,0,0,2,0.0,NA,24.70,0
14,2026-09-06T14:28:06+03:00,performance,60.8,45,45.0,0,0,2,0.0,NA,12.55,0
15,2026-09-06T14:28:07+03:00,performance,60.9,45,56.0,0,0,2,0.0,NA,8.87,0
16,2026-09-06T14:28:09+03:00,performance,61.1,45,56.0,0,0,2,0.0,NA,6.47,0
18,2026-09-06T14:28:10+03:00,performance,61.2,46,56.0,0,0,2,0.0,NA,6.52,0
19,2026-09-06T14:28:11+03:00,performance,61.4,46,56.0,0,0,2,0.0,NA,6.92,0
20,2026-09-06T14:28:12+03:00,performance,61.5,46,56.0,0,0,2,0.0,NA,6.51,0
21,2026-09-06T14:28:13+03:00,performance,61.8,46,56.0,0,0,2,0.0,NA,6.81,0
22,2026-09-06T14:28:15+03:00,performance,61.9,46,56.0,0,0,2,0.0,NA,6.74,0
24,2026-09-06T14:28:16+03:00,performance,62.0,46,56.0,0,0,2,0.0,NA,6.57,0
25,2026-09-06T14:28:17+03:00,performance,62.1,46,56.0,0,0,2,0.0,NA,6.82,0
26,2026-09-06T14:28:18+03:00,performance,62.2,47,60.0,0,0,2,0.0,NA,6.72,0
27,2026-09-06T14:28:19+03:00,performance,62.4,47,60.0,0,0,2,0.0,NA,6.65,0
28,2026-09-06T14:28:20+03:00,performance,62.5,47,60.0,0,0,2,0.0,NA,6.66,0
29,2026-09-06T14:28:22+03:00,performance,62.6,47,60.0,0,0,2,0.0,NA,6.65,0
31,2026-09-06T14:28:23+03:00,performance,62.9,47,60.0,0,0,2,0.0,NA,6.95,0
32,2026-09-06T14:28:24+03:00,performance,63.0,47,60.0,0,0,2,0.0,NA,6.68,0
33,2026-09-06T14:28:25+03:00,performance,63.1,47,60.0,0,0,2,0.0,NA,6.84,0
34,2026-09-06T14:28:26+03:00,performance,63.2,48,60.0,0,0,2,0.0,NA,6.79,0
35,2026-09-06T14:28:28+03:00,performance,63.4,48,60.0,0,0,2,0.0,NA,6.77,0
37,2026-09-06T14:28:29+03:00,performance,63.6,48,61.0,0,0,2,0.0,NA,6.90,0
38,2026-09-06T14:28:30+03:00,performance,63.8,48,61.0,0,0,2,0.0,NA,6.76,0
39,2026-09-06T14:28:31+03:00,performance,63.9,48,61.0,0,0,2,0.0,NA,6.78,0
40,2026-09-06T14:28:32+03:00,performance,63.9,48,61.0,0,0,2,0.0,NA,6.80,0
41,2026-09-06T14:28:34+03:00,performance,64.1,48,61.0,0,0,2,0.0,NA,6.80,0
43,2026-09-06T14:28:35+03:00,performance,64.2,48,61.0,0,0,2,0.0,NA,6.81,0
44,2026-09-06T14:28:36+03:00,performance,64.4,49,61.0,0,0,2,0.0,NA,6.91,0
45,2026-09-06T14:28:37+03:00,performance,64.4,49,61.0,0,0,2,0.0,NA,6.91,0
46,2026-09-06T14:28:38+03:00,performance,64.5,49,61.0,0,0,2,0.0,NA,6.77,0
47,2026-09-06T14:28:40+03:00,performance,64.6,49,61.0,0,0,2,0.0,NA,7.03,0
49,2026-09-06T14:28:41+03:00,performance,64.6,49,62.0,0,0,2,0.0,NA,7.00,0
50,2026-09-06T14:28:42+03:00,performance,64.8,49,62.0,0,0,2,0.0,NA,6.92,0
51,2026-09-06T14:28:43+03:00,performance,65.0,49,62.0,300,300,2,4.7,NA,7.04,0
52,2026-09-06T14:28:44+03:00,performance,65.1,49,62.0,1400,1500,2,24.7,NA,6.83,0
53,2026-09-06T14:28:45+03:00,performance,65.1,49,62.0,1900,1900,2,31.4,NA,6.90,0
54,2026-09-06T14:28:47+03:00,performance,65.0,49,62.0,1900,2100,2,31.4,NA,6.95,0
56,2026-09-06T14:28:48+03:00,performance,65.1,49,62.0,1900,2100,2,31.4,NA,6.96,0
57,2026-09-06T14:28:49+03:00,performance,65.1,49,62.0,1900,2100,2,31.4,NA,7.03,0
58,2026-09-06T14:28:50+03:00,performance,65.2,49,62.0,1900,2100,2,31.4,NA,6.98,0
59,2026-09-06T14:28:51+03:00,performance,65.2,49,63.0,1900,2100,2,31.4,NA,6.91,0
60,2026-09-06T14:28:53+03:00,performance,65.2,50,63.0,1900,2100,2,31.4,NA,6.96,0
62,2026-09-06T14:28:54+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.97,0
63,2026-09-06T14:28:55+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.95,0
64,2026-09-06T14:28:56+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.93,0
65,2026-09-06T14:28:57+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.93,0
66,2026-09-06T14:28:59+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.96,0
68,2026-09-06T14:29:00+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,7.01,0
69,2026-09-06T14:29:01+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,7.01,0
70,2026-09-06T14:29:02+03:00,performance,65.1,49,63.0,1900,2100,2,31.4,NA,6.99,0
71,2026-09-06T14:29:03+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.86,0
72,2026-09-06T14:29:04+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.91,0
73,2026-09-06T14:29:06+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.96,0
75,2026-09-06T14:29:07+03:00,performance,65.2,49,64.0,2000,2200,2,33.3,NA,6.95,0
76,2026-09-06T14:29:08+03:00,performance,65.2,49,64.0,2000,2200,2,33.3,NA,6.97,0
77,2026-09-06T14:29:09+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.84,0
78,2026-09-06T14:29:10+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.97,0
79,2026-09-06T14:29:12+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.98,0
81,2026-09-06T14:29:13+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.98,0
82,2026-09-06T14:29:14+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.97,0
83,2026-09-06T14:29:15+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.90,0
84,2026-09-06T14:29:16+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.96,0
85,2026-09-06T14:29:18+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.97,0
87,2026-09-06T14:29:19+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.97,0
88,2026-09-06T14:29:20+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.95,0
89,2026-09-06T14:29:21+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.93,0
90,2026-09-06T14:29:22+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.92,0
91,2026-09-06T14:29:23+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.90,0
92,2026-09-06T14:29:25+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.89,0
94,2026-09-06T14:29:26+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.90,0
95,2026-09-06T14:29:27+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.89,0
96,2026-09-06T14:29:28+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.84,0
97,2026-09-06T14:29:29+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.96,0
98,2026-09-06T14:29:31+03:00,performance,65.1,49,64.0,2000,2200,2,33.3,NA,6.97,0
