timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T16:35:49+03:00,0.1,performance,bios-auto,48.2,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:50+03:00,1.2,performance,bios-auto,48.2,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:52+03:00,2.2,performance,bios-auto,48.1,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:53+03:00,3.3,performance,bios-auto,47.9,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:54+03:00,4.3,performance,bios-auto,47.8,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:55+03:00,5.4,performance,bios-auto,47.6,45.0,47.0,48.1,45.0,47.0,48.1,,,2,0,0,0,
2026-09-06T16:35:56+03:00,6.5,performance,bios-auto,48.1,45.0,47.0,48.1,45.0,47.0,48.1,,,2,0,0,0,
2026-09-06T16:35:57+03:00,7.6,performance,bios-auto,48.5,45.0,47.0,48.2,45.0,47.0,48.2,,,2,0,0,0,
2026-09-06T16:35:58+03:00,8.8,performance,manual,78.4,54.0,47.0,55.7,47.2,47.0,78.4,208,81.6,1,0,0,0,
2026-09-06T16:35:59+03:00,9.9,performance,manual,90.4,55.0,47.0,64.4,49.2,47.0,90.4,255,100.0,1,0,0,0,
2026-09-06T16:36:00+03:00,11.1,performance,emergency,94.5,56.0,47.0,71.9,50.9,47.0,71.9,255,100.0,0,0,0,0,raw critical threshold
2026-09-06T16:36:02+03:00,12.2,performance,emergency,96.5,56.0,47.0,78.1,52.2,47.0,78.1,255,100.0,0,46,1100,1300,raw critical threshold
2026-09-06T16:36:03+03:00,13.4,performance,emergency,97.6,57.0,47.0,83.0,53.4,47.0,83.0,255,100.0,0,68,1600,1700,raw critical threshold
2026-09-06T16:36:04+03:00,14.5,performance,emergency,98.4,57.0,47.0,86.8,54.3,47.0,86.8,255,100.0,0,85,2000,2100,raw critical threshold
2026-09-06T16:36:05+03:00,15.6,performance,emergency,99.2,57.0,48.0,89.9,55.0,47.2,89.9,255,100.0,0,102,2400,2500,raw critical threshold
2026-09-06T16:36:06+03:00,16.8,performance,emergency,99.8,58.0,48.0,92.4,55.7,47.4,92.4,255,100.0,0,119,2800,2900,raw critical threshold
2026-09-06T16:36:07+03:00,17.9,performance,emergency,96.6,57.0,48.0,93.4,56.0,47.6,93.4,255,100.0,0,131,3100,3200,raw critical threshold
2026-09-06T16:36:08+03:00,19.1,performance,emergency,94.1,56.0,85.0,93.6,56.0,56.9,93.6,255,100.0,0,144,3400,3600,raw critical threshold
2026-09-06T16:36:10+03:00,20.2,performance,emergency,92.6,57.0,85.0,93.5,56.3,64.0,93.5,255,100.0,0,161,3800,3900,raw critical threshold
2026-09-06T16:36:11+03:00,21.4,performance,emergency,91.9,57.0,85.0,93.3,56.5,69.2,93.3,255,100.0,0,174,4100,4300,waiting for critical release
2026-09-06T16:36:12+03:00,22.5,performance,emergency,91.4,56.0,85.0,93.2,56.4,73.2,93.2,255,100.0,0,187,4400,4600,waiting for critical release
2026-09-06T16:36:13+03:00,23.6,performance,emergency,91.1,56.0,85.0,92.9,56.4,76.1,92.9,255,100.0,0,199,4700,4900,waiting for critical release
2026-09-06T16:36:14+03:00,24.8,performance,emergency,91.1,57.0,85.0,92.8,56.5,78.3,92.8,255,100.0,0,212,5000,5200,waiting for critical release
2026-09-06T16:36:15+03:00,25.9,performance,emergency,91.0,56.0,85.0,92.6,56.5,80.0,92.6,255,100.0,0,225,5300,5500,waiting for critical release
2026-09-06T16:36:16+03:00,27.1,performance,emergency,91.0,57.0,85.0,92.4,56.6,81.3,92.4,255,100.0,0,233,5600,5700,waiting for critical release
2026-09-06T16:36:18+03:00,28.2,performance,emergency,91.0,56.0,85.0,92.3,56.5,82.2,92.3,255,100.0,0,246,5800,5800,waiting for critical release
2026-09-06T16:36:19+03:00,29.3,performance,emergency,91.0,57.0,91.0,92.2,56.7,84.4,92.2,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:20+03:00,30.5,performance,emergency,90.9,56.0,91.0,92.0,56.6,86.0,92.0,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:21+03:00,31.6,performance,emergency,90.8,56.0,91.0,91.9,56.5,87.3,91.9,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:22+03:00,32.8,performance,emergency,90.8,56.0,91.0,91.8,56.5,88.2,91.8,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:23+03:00,33.9,performance,emergency,90.8,56.0,91.0,91.7,56.4,88.9,91.7,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:24+03:00,35.1,performance,emergency,90.8,56.0,91.0,91.6,56.4,89.4,91.6,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T16:36:26+03:00,36.2,performance,emergency,90.6,56.0,91.0,91.5,56.4,89.8,91.5,255,100.0,0,255,6000,5800,waiting for critical release
