cpu_temp_bin_c,samples,fan1_avg_rpm,fan1_min_rpm,fan1_max_rpm,fan2_avg_rpm,fan2_min_rpm,fan2_max_rpm
55-59,2,2200,2200,2200,2400,2400,2400
60-64,48,2200,2200,2200,2400,2400,2400
65-69,37,2676,2200,3400,2870,2300,3600
70-74,3,2267,0,3400,2400,0,3600
75-79,1,3400,3400,3400,3600,3600,3600
80-84,1,3400,3400,3400,3600,3600,3600
85-89,12,492,0,2300,550,0,2400
90-94,46,3352,2600,3400,3552,2800,3600
