cpu_temp_bin_c,samples,fan1_avg_rpm,fan1_min_rpm,fan1_max_rpm,fan2_avg_rpm,fan2_min_rpm,fan2_max_rpm
40-44,1,0,0,0,0,0,0
45-49,30,117,0,1900,127,0,2100
50-54,51,714,0,1900,786,0,2100
55-59,32,231,0,1900,250,0,2100
60-64,85,716,0,1900,792,0,2200
65-69,4,0,0,0,0,0,0
